,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,memory-replay,SuperAnimal,0.01,shuffle0,0.8456352551006018,6.857248086888195
1,memory-replay,SuperAnimal,0.01,shuffle1,0.7957934936350777,8.053016851621896
2,memory-replay,SuperAnimal,0.01,shuffle2,0.7782731415998744,9.049288005461996
3,memory-replay,SuperAnimal,0.05,shuffle0,0.9380694479704381,3.863595147471265
4,memory-replay,SuperAnimal,0.05,shuffle1,0.9087386999569522,4.806972778512756
5,memory-replay,SuperAnimal,0.05,shuffle2,0.8692262726272627,6.40591031715107
6,memory-replay,SuperAnimal,0.1,shuffle0,0.9670855547093171,2.83420198244005
7,memory-replay,SuperAnimal,0.1,shuffle1,0.9722772277227723,2.9533894245973227
8,memory-replay,SuperAnimal,0.1,shuffle2,0.925974685380626,4.5754800166366625
9,memory-replay,SuperAnimal,0.5,shuffle0,1.0,1.8453602844529546
10,memory-replay,SuperAnimal,0.5,shuffle1,0.9643564356435643,2.637063714651109
11,memory-replay,SuperAnimal,0.5,shuffle2,0.9798096476314299,2.9301282036555736
12,memory-replay,SuperAnimal,1.0,shuffle0,1.0,1.665507683352889
13,memory-replay,SuperAnimal,1.0,shuffle1,0.9914924825815915,2.081694694693478
14,memory-replay,SuperAnimal,1.0,shuffle2,0.9842264995730342,2.6723323258042946
15,transfer-learning,ImageNet,0.01,shuffle0,0.0,36.75583872948916
16,transfer-learning,ImageNet,0.01,shuffle1,0.0,38.07856673885643
17,transfer-learning,ImageNet,0.01,shuffle2,0.0,40.072061386371864
18,transfer-learning,ImageNet,0.05,shuffle0,0.0,36.8247256930367
19,transfer-learning,ImageNet,0.05,shuffle1,0.0,36.48175436381186
20,transfer-learning,ImageNet,0.05,shuffle2,0.0,39.83249404826355
21,transfer-learning,ImageNet,0.1,shuffle0,0.0,36.97394298138868
22,transfer-learning,ImageNet,0.1,shuffle1,0.0,36.81138442997699
23,transfer-learning,ImageNet,0.1,shuffle2,0.0,40.93301161414337
24,transfer-learning,ImageNet,0.5,shuffle0,0.8227979464613129,7.414160529691731
25,transfer-learning,ImageNet,0.5,shuffle1,0.8475746996330633,7.023966316860838
26,transfer-learning,ImageNet,0.5,shuffle2,0.8020964953638221,8.505297787168084
27,transfer-learning,ImageNet,1.0,shuffle0,0.994939493949395,2.304838988594812
28,transfer-learning,ImageNet,1.0,shuffle1,0.9952328566189953,2.6906571366210046
29,transfer-learning,ImageNet,1.0,shuffle2,0.9958929226255959,3.1561400951086367
30,zeroshot,SuperAnimal,1.0,shuffle0,0.7195389538953896,9.862884505242215
31,zeroshot,SuperAnimal,1.0,shuffle1,0.7070769907981318,10.404853458214914
32,zeroshot,SuperAnimal,1.0,shuffle2,0.6845452209817255,11.472800964367305
