,method,pretrain_model,training_ratio,level_3,keypoint_dropping
0,finetune,SuperAnimal,0.01,shuffle0,"[1.0, 3.0, 2.0, 1.0, 4.0, 1.0, 1.0, 2.0, 3.0, 4.0, 4.0, 2.0, 3.0, 3.0, 2.0, 3.0, 8.0, 1.0, 0.0, 4.0, 2.0, 4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 0.0, 4.0, 2.0, 1.0, 1.0, 4.0, 3.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 11.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 3.0, 3.0, 4.0]"
1,finetune,SuperAnimal,0.01,shuffle1,"[1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 5.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0, 4.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 2.0, 2.0, 5.0, 1.0, 5.0, 2.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 2.0, 1.0]"
2,finetune,SuperAnimal,0.01,shuffle2,"[2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 3.0, 4.0, 4.0, 2.0, 0.0, 3.0, 3.0, 0.0, 4.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 3.0, 3.0, 0.0, 2.0, 4.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 5.0, 4.0, 2.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]"
3,finetune,SuperAnimal,0.05,shuffle0,"[1.0, 4.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 3.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 4.0, 0.0, 1.0, 2.0, 0.0, 5.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 1.0, 0.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 3.0, 4.0]"
4,finetune,SuperAnimal,0.05,shuffle1,"[1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 0.0, 3.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 3.0, 3.0, 3.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 3.0, 1.0, 2.0, 3.0, 1.0, 6.0, 1.0, 0.0, 1.0, 0.0, 5.0, 0.0, 2.0, 1.0, 1.0]"
5,finetune,SuperAnimal,0.05,shuffle2,"[1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 3.0, 1.0, 0.0, 2.0, 4.0, 0.0, 5.0, 2.0, 3.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 3.0, 2.0, 3.0, 3.0, 0.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 2.0, 4.0, 2.0, 2.0, 0.0, 1.0, 3.0, 4.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0]"
6,finetune,SuperAnimal,0.1,shuffle0,"[1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]"
7,finetune,SuperAnimal,0.1,shuffle1,"[1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 1.0, 5.0, 1.0, 0.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0]"
8,finetune,SuperAnimal,0.1,shuffle2,"[5.0, 2.0, 1.0, 2.0, 2.0, 5.0, 1.0, 2.0, 2.0, 4.0, 1.0, 1.0, 1.0, 0.0, 5.0, 3.0, 3.0, 2.0, 3.0, 4.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 3.0, 1.0, 4.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 3.0, 1.0, 0.0, 1.0, 5.0, 2.0, 1.0, 1.0, 2.0, 3.0, 2.0, 3.0]"
9,finetune,SuperAnimal,0.5,shuffle0,"[5.0, 5.0, 7.0, 6.0, 7.0, 5.0, 6.0, 3.0, 5.0, 4.0, 7.0, 6.0, 6.0, 7.0, 1.0, 6.0, 7.0, 5.0, 4.0, 5.0, 3.0, 6.0, 6.0, 7.0, 5.0, 5.0, 6.0, 4.0, 6.0, 6.0, 7.0, 6.0, 4.0, 6.0, 5.0, 6.0, 6.0, 5.0, 6.0, 5.0, 6.0, 3.0, 5.0, 6.0, 5.0, 4.0, 5.0, 7.0, 4.0, 4.0, 5.0, 6.0, 5.0, 7.0]"
