,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,finetune,SuperAnimal,0.01,shuffle0,0.9699112219768038,2.9422823405795637
1,finetune,SuperAnimal,0.01,shuffle1,1.0,1.8829486105177136
2,finetune,SuperAnimal,0.01,shuffle2,0.9898091601877275,2.3796625518798833
3,finetune,SuperAnimal,0.05,shuffle0,0.9933993399339933,1.9113226966857908
4,finetune,SuperAnimal,0.05,shuffle1,1.0,1.5338501838401515
5,finetune,SuperAnimal,0.05,shuffle2,0.9974697469746975,1.7193783642804181
6,finetune,SuperAnimal,0.1,shuffle0,0.9967546754675467,1.6485943390175155
7,finetune,SuperAnimal,0.1,shuffle1,1.0,1.3105280674121997
8,finetune,SuperAnimal,0.1,shuffle2,1.0,1.4078892190721308
9,finetune,SuperAnimal,0.5,shuffle0,0.9965529886321965,1.3837076143335407
10,finetune,SuperAnimal,0.5,shuffle1,1.0,1.1595800627249249
11,finetune,SuperAnimal,0.5,shuffle2,0.9801980198019802,1.9954314258716737
12,finetune,SuperAnimal,1.0,shuffle0,0.9973414008067473,1.3068792208918811
13,finetune,SuperAnimal,1.0,shuffle1,1.0,1.149652512585674
14,finetune,SuperAnimal,1.0,shuffle2,0.9956362302896956,1.350030052185059
15,memory-replay,SuperAnimal,0.01,shuffle0,0.9952764026402641,2.6718313195970325
16,memory-replay,SuperAnimal,0.01,shuffle1,1.0,1.8600350450586387
17,memory-replay,SuperAnimal,0.01,shuffle2,1.0,2.261927062846997
18,memory-replay,SuperAnimal,0.05,shuffle0,0.9953839383938394,2.0359575117605697
19,memory-replay,SuperAnimal,0.05,shuffle1,1.0,1.6026732053403503
20,memory-replay,SuperAnimal,0.05,shuffle2,1.0,1.884646655753808
21,memory-replay,SuperAnimal,0.1,shuffle0,0.9979097909790979,1.6912822117275654
22,memory-replay,SuperAnimal,0.1,shuffle1,1.0,1.3370265509993953
23,memory-replay,SuperAnimal,0.1,shuffle2,1.0,1.4530466147528764
24,memory-replay,SuperAnimal,0.5,shuffle0,0.9979097909790979,1.3967379346776891
25,memory-replay,SuperAnimal,0.5,shuffle1,0.9954162082874954,1.2390711602105025
26,memory-replay,SuperAnimal,0.5,shuffle2,1.0,1.269091651775219
27,memory-replay,SuperAnimal,1.0,shuffle0,1.0,1.2256417427062987
28,memory-replay,SuperAnimal,1.0,shuffle1,1.0,1.1331273320515942
29,memory-replay,SuperAnimal,1.0,shuffle2,0.9959662632929959,1.2888992491828075
30,transfer-learning,ImageNet,0.01,shuffle0,0.8583295179562023,11.062204095769811
31,transfer-learning,ImageNet,0.01,shuffle1,0.8876797641769135,4.843213643250642
32,transfer-learning,ImageNet,0.01,shuffle2,0.8632077130648346,7.843225460617633
33,transfer-learning,ImageNet,0.05,shuffle0,0.9946186285295195,2.159037762818513
34,transfer-learning,ImageNet,0.05,shuffle1,0.9761628993087987,2.5642988823784716
35,transfer-learning,ImageNet,0.05,shuffle2,0.9916869045395106,2.189880334077059
36,transfer-learning,ImageNet,0.1,shuffle0,0.9972313898056472,1.5580575158860952
37,transfer-learning,ImageNet,0.1,shuffle1,0.9954895489548955,1.4726936364350498
38,transfer-learning,ImageNet,0.1,shuffle2,0.9917858452511917,1.6126781076501928
39,transfer-learning,ImageNet,0.5,shuffle0,0.9969013568023469,1.4146711728131323
40,transfer-learning,ImageNet,0.5,shuffle1,0.9841584158415841,1.5007998044049284
41,transfer-learning,ImageNet,0.5,shuffle2,0.9813970705246625,1.742490179556388
42,transfer-learning,ImageNet,1.0,shuffle0,1.0,1.2517424508553963
43,transfer-learning,ImageNet,1.0,shuffle1,0.9920792079207921,1.2065162544250483
44,transfer-learning,ImageNet,1.0,shuffle2,0.9899495609938351,1.507757468612107
45,transfer-learning,SuperAnimal,0.01,shuffle0,0.9413940788730351,5.486182914310032
46,transfer-learning,SuperAnimal,0.01,shuffle1,1.0,2.0797315416689255
47,transfer-learning,SuperAnimal,0.01,shuffle2,0.9916003365042387,2.6798215810987682
48,transfer-learning,SuperAnimal,0.05,shuffle0,0.9953355335533554,2.0969825202094183
49,transfer-learning,SuperAnimal,0.05,shuffle1,0.994059405940594,1.7376402237503614
50,transfer-learning,SuperAnimal,0.05,shuffle2,0.997983131646498,1.794975321169252
51,transfer-learning,SuperAnimal,0.1,shuffle0,0.9809768658025223,2.027684608600757
52,transfer-learning,SuperAnimal,0.1,shuffle1,1.0,1.2687188552573871
53,transfer-learning,SuperAnimal,0.1,shuffle2,1.0,1.4326875703599713
54,transfer-learning,SuperAnimal,0.5,shuffle0,0.9976347634763476,1.369627199667472
55,transfer-learning,SuperAnimal,0.5,shuffle1,0.9881188118811881,1.4793770323859323
56,transfer-learning,SuperAnimal,0.5,shuffle2,1.0,1.2853159856443057
57,transfer-learning,SuperAnimal,1.0,shuffle0,1.0,1.2093564973054114
58,transfer-learning,SuperAnimal,1.0,shuffle1,1.0,1.1152886452851463
59,transfer-learning,SuperAnimal,1.0,shuffle2,0.9958195819581959,1.2936145525331857
60,zeroshot,SuperAnimal,1.0,shuffle1,0.9461793098903458,4.554085476769341
