,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,finetune,SuperAnimal,0.01,shuffle0,0.9699148074197579,3.505980698620831
1,finetune,SuperAnimal,0.01,shuffle1,1.0,1.8221565178765187
2,finetune,SuperAnimal,0.01,shuffle2,0.9944816386400545,2.225776247236465
3,finetune,SuperAnimal,0.05,shuffle0,0.9967180051338468,1.888884852939182
4,finetune,SuperAnimal,0.05,shuffle1,1.0,1.4930928137037482
5,finetune,SuperAnimal,0.05,shuffle2,0.9973414008067473,1.7351162401835127
6,finetune,SuperAnimal,0.1,shuffle0,0.9967546754675467,1.6267795479385938
7,finetune,SuperAnimal,0.1,shuffle1,1.0,1.2560044617829502
8,finetune,SuperAnimal,0.1,shuffle2,1.0,1.434283128950332
9,finetune,SuperAnimal,0.5,shuffle0,0.9963513017968463,1.341424725002713
10,finetune,SuperAnimal,0.5,shuffle1,1.0,1.1974841230886943
11,finetune,SuperAnimal,0.5,shuffle2,1.0,1.2437733058223017
12,finetune,SuperAnimal,1.0,shuffle0,0.9977447744774477,1.3376896192762588
13,finetune,SuperAnimal,1.0,shuffle1,1.0,1.1504628691496666
14,finetune,SuperAnimal,1.0,shuffle2,1.0,1.2152581334997108
15,memory-replay,SuperAnimal,0.01,shuffle0,0.9954414191419142,2.77244987600821
16,memory-replay,SuperAnimal,0.01,shuffle1,0.9976714338100476,1.9421847216288242
17,memory-replay,SuperAnimal,0.01,shuffle2,0.9948565031941791,2.4290941614221646
18,memory-replay,SuperAnimal,0.05,shuffle0,0.995193894389439,2.2499075211418993
19,memory-replay,SuperAnimal,0.05,shuffle1,1.0,1.6882802341602468
20,memory-replay,SuperAnimal,0.05,shuffle2,0.9977447744774477,1.9230505684746646
21,memory-replay,SuperAnimal,0.1,shuffle0,0.9978731206453979,1.7795148494861748
22,memory-replay,SuperAnimal,0.1,shuffle1,1.0,1.3630068738019034
23,memory-replay,SuperAnimal,0.1,shuffle2,1.0,1.4703795967102053
24,memory-replay,SuperAnimal,0.5,shuffle0,0.9973047304730474,1.4159241064566142
25,memory-replay,SuperAnimal,0.5,shuffle1,0.996039603960396,1.2393957019382047
26,memory-replay,SuperAnimal,0.5,shuffle2,1.0,1.2234447654441556
27,memory-replay,SuperAnimal,1.0,shuffle0,1.0,1.2194342747441038
28,memory-replay,SuperAnimal,1.0,shuffle1,1.0,1.122602542312056
29,memory-replay,SuperAnimal,1.0,shuffle2,0.996039603960396,1.2886193120038072
30,transfer-learning,ImageNet,0.01,shuffle0,0.9443074348770387,6.291169433735035
31,transfer-learning,ImageNet,0.01,shuffle1,0.9100761091149276,7.153116004237421
32,transfer-learning,ImageNet,0.01,shuffle2,0.8893657277208336,7.558484197545936
33,transfer-learning,ImageNet,0.05,shuffle0,0.9904705576466231,2.305846030906394
34,transfer-learning,ImageNet,0.05,shuffle1,0.9881188118811881,1.9735813683403864
35,transfer-learning,ImageNet,0.05,shuffle2,0.989314403138427,2.206797920933478
36,transfer-learning,ImageNet,0.1,shuffle0,0.9880834802102032,1.843502738811351
37,transfer-learning,ImageNet,0.1,shuffle1,0.9900990099009901,1.4651246589378073
38,transfer-learning,ImageNet,0.1,shuffle2,1.0,1.3856410046330212
39,transfer-learning,ImageNet,0.5,shuffle0,0.9966263292995966,1.3524956509625463
40,transfer-learning,ImageNet,0.5,shuffle1,1.0,1.1694404770180027
41,transfer-learning,ImageNet,0.5,shuffle2,0.9787312064539787,1.749155428568523
42,transfer-learning,ImageNet,1.0,shuffle0,1.0,1.1465853852166075
43,transfer-learning,ImageNet,1.0,shuffle1,1.0,1.0878896622834384
44,transfer-learning,ImageNet,1.0,shuffle2,1.0,1.1591586736043296
45,transfer-learning,SuperAnimal,0.01,shuffle0,0.9224151268334507,7.71162088337651
46,transfer-learning,SuperAnimal,0.01,shuffle1,0.9865236523652365,2.9008257403903532
47,transfer-learning,SuperAnimal,0.01,shuffle2,0.9894154748808214,2.5885385804352943
48,transfer-learning,SuperAnimal,0.05,shuffle0,0.9945947928126145,1.9590805269877112
49,transfer-learning,SuperAnimal,0.05,shuffle1,0.9959662632929959,1.5723621376885315
50,transfer-learning,SuperAnimal,0.05,shuffle2,0.9975797579757976,1.9215400454203286
51,transfer-learning,SuperAnimal,0.1,shuffle0,0.9925765493215988,1.6554097928647646
52,transfer-learning,SuperAnimal,0.1,shuffle1,1.0,1.3014149791576253
53,transfer-learning,SuperAnimal,0.1,shuffle2,1.0,1.4458413781060122
54,transfer-learning,SuperAnimal,0.5,shuffle0,0.9973597359735974,1.3967942083853255
55,transfer-learning,SuperAnimal,0.5,shuffle1,1.0,1.1791216352957268
56,transfer-learning,SuperAnimal,0.5,shuffle2,0.9801980198019802,1.8128851068284788
57,transfer-learning,SuperAnimal,1.0,shuffle0,1.0,1.176049979881004
58,transfer-learning,SuperAnimal,1.0,shuffle1,1.0,1.095987600962321
59,transfer-learning,SuperAnimal,1.0,shuffle2,0.993949394939494,1.2790441063774958
60,zeroshot,SuperAnimal,1.0,shuffle0,0.9532703804180278,5.063675997133607
61,zeroshot,SuperAnimal,1.0,shuffle1,0.9461793098903458,4.554085476769341
62,zeroshot,SuperAnimal,1.0,shuffle2,0.9571081724465859,5.025510204032616
