,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,memory-replay,SuperAnimal,0.01,shuffle0,0.9955434759162191,2.801986786595097
1,memory-replay,SuperAnimal,0.01,shuffle1,0.9952695269526952,2.3439904828954616
2,memory-replay,SuperAnimal,0.01,shuffle2,0.9958152678012899,2.7635339099742757
3,memory-replay,SuperAnimal,0.05,shuffle0,0.9948251687913889,2.1887595402752904
4,memory-replay,SuperAnimal,0.05,shuffle1,1.0,1.7070966863279
5,memory-replay,SuperAnimal,0.05,shuffle2,1.0,2.085651066674129
6,memory-replay,SuperAnimal,0.1,shuffle0,0.9979464613127979,1.8777653540152088
7,memory-replay,SuperAnimal,0.1,shuffle1,1.0,1.58961384681419
8,memory-replay,SuperAnimal,0.1,shuffle2,1.0,1.7553337669372573
9,memory-replay,SuperAnimal,0.5,shuffle0,0.9979464613127979,1.4728428836398653
10,memory-replay,SuperAnimal,0.5,shuffle1,1.0,1.2732618050751856
11,memory-replay,SuperAnimal,0.5,shuffle2,1.0,1.421499553680421
12,memory-replay,SuperAnimal,1.0,shuffle0,0.9979464613127979,1.3552705035739476
13,memory-replay,SuperAnimal,1.0,shuffle1,1.0,1.2121750178866904
14,memory-replay,SuperAnimal,1.0,shuffle2,1.0,1.3216005476492427
15,transfer-learning,ImageNet,0.01,shuffle0,0.00010422094841063054,57.0929417008294
16,transfer-learning,ImageNet,0.01,shuffle1,0.001281943526728277,51.92589820339062
17,transfer-learning,ImageNet,0.01,shuffle2,0.010225482485717662,53.90535555832474
18,transfer-learning,ImageNet,0.05,shuffle0,0.04072486198087811,56.786074546248834
19,transfer-learning,ImageNet,0.05,shuffle1,0.0021002100210021,50.15126462696217
20,transfer-learning,ImageNet,0.05,shuffle2,0.009756122980719121,58.53795862833658
21,transfer-learning,ImageNet,0.1,shuffle0,0.3839269415604159,21.91759121251989
22,transfer-learning,ImageNet,0.1,shuffle1,0.3214277716483393,21.949483175348355
23,transfer-learning,ImageNet,0.1,shuffle2,0.354029447409683,24.136997183623137
24,transfer-learning,ImageNet,0.5,shuffle0,1.0,1.8548776889377174
25,transfer-learning,ImageNet,0.5,shuffle1,1.0,1.7075687055234547
26,transfer-learning,ImageNet,0.5,shuffle2,1.0,2.0816969487225574
27,transfer-learning,ImageNet,1.0,shuffle0,0.997983131646498,1.524516740869593
28,transfer-learning,ImageNet,1.0,shuffle1,1.0,1.2495923334757477
29,transfer-learning,ImageNet,1.0,shuffle2,1.0,1.3890806764673305
30,zeroshot,SuperAnimal,1.0,shuffle0,0.965374874843647,4.676957760281033
31,zeroshot,SuperAnimal,1.0,shuffle1,0.9548788841148267,4.243972172207301
32,zeroshot,SuperAnimal,1.0,shuffle2,0.9701865311833554,4.793679780324301
