,method,pretrain_model,training_ratio,level_3,mAP,NE_iid,NE_ood,rmse
0,finetune,AP10k,0.01,shuffle1,0.6689282152554316,0.2854906885627934,0.2908699383059562,5.06146811250326
1,finetune,AP10k,0.01,shuffle2,0.6593882836201366,0.2971308739298797,0.2774519868124393,4.937460648822807
2,finetune,AP10k,0.01,shuffle3,0.6601888953456758,0.2758071974618929,0.2869879382740574,5.088092945201908
3,finetune,AP10k,0.05,shuffle1,0.8086139209580527,0.18744906691982943,0.18391279879736128,2.8449357827233026
4,finetune,AP10k,0.05,shuffle2,0.8008246781650715,0.19449407054898926,0.17717444645934285,2.8777096917292773
5,finetune,AP10k,0.05,shuffle3,0.7985022446485768,0.17922768417361118,0.19855838156376618,3.1280417827655898
6,finetune,AP10k,0.1,shuffle1,0.7759531731063571,0.28987970398894025,0.21724536569932984,3.2820942432265268
7,finetune,AP10k,0.1,shuffle2,0.846413588842493,0.15548128285683718,0.137119118079884,2.2228079904224627
8,finetune,AP10k,0.1,shuffle3,0.8372485491998711,0.15082763867424842,0.17185574952253027,2.4783481634212707
9,finetune,AP10k,0.5,shuffle1,0.9169627450807101,0.06705588977062307,0.09425173896797377,1.4284602594752474
10,finetune,AP10k,0.5,shuffle2,0.9184549119893461,0.07680196847103474,0.09619757722470162,1.5884112179055716
11,finetune,AP10k,0.5,shuffle3,0.9056485635175581,0.0652537722294192,0.11230229089034421,1.654670398521138
12,finetune,AP10k,1.0,shuffle1,0.9498377759139225,0.035290342847799853,0.07170613411458901,1.109775272288144
13,finetune,AP10k,1.0,shuffle2,0.9451903668816632,0.03616503884998152,0.07278846073334164,1.113842266501462
14,finetune,AP10k,1.0,shuffle3,0.9241551834301315,0.03738309590983937,0.10332442450938951,1.4359061042141184
15,finetune,SuperAnimal,0.01,shuffle1,0.6949182120725234,0.22513465974707675,0.22983263966912545,4.020812675226857
16,finetune,SuperAnimal,0.01,shuffle2,0.7284797741056664,0.22664023556298743,0.20728996324085594,3.8587220470411108
17,finetune,SuperAnimal,0.01,shuffle3,0.7271259654436092,0.20671748607927434,0.20142779448350462,3.685210691498849
18,finetune,SuperAnimal,0.05,shuffle1,0.8419257356519204,0.14166726736468607,0.1464603700323153,2.3291149618373455
19,finetune,SuperAnimal,0.05,shuffle2,0.8751688205907101,0.12244486876113087,0.11867593911155955,1.9567083684512807
20,finetune,SuperAnimal,0.05,shuffle3,0.8462194710884477,0.12913077761293046,0.14239820872695974,2.199124785522427
21,finetune,SuperAnimal,0.1,shuffle1,0.8723615217871984,0.13588908056515683,0.14427059185688426,2.2131003956608724
22,finetune,SuperAnimal,0.1,shuffle2,0.9032515131599439,0.10031680394443121,0.09818786761253548,1.6407631088195709
23,finetune,SuperAnimal,0.1,shuffle3,0.8879869005254707,0.10331711256796729,0.11941570441438168,1.802087849308746
24,finetune,SuperAnimal,0.5,shuffle1,0.9418176335635785,0.056174998313464376,0.07474127293005074,1.2029338283449478
25,finetune,SuperAnimal,0.5,shuffle2,0.9383469438144645,0.058686527047892574,0.07977365647137855,1.3691995014652176
26,finetune,SuperAnimal,0.5,shuffle3,0.929604472713013,0.056968571795505296,0.08383350964745961,1.3485483255928987
27,finetune,SuperAnimal,1.0,shuffle1,0.9628365959302896,0.036118123652079004,0.06600316615518291,1.0569445596393874
28,finetune,SuperAnimal,1.0,shuffle2,0.9547871070805137,0.03675776350210192,0.06660731044363721,1.0480963972237163
29,finetune,SuperAnimal,1.0,shuffle3,0.945372128890111,0.04048652953109319,0.0868091688572167,1.2938667561315893
30,memory-replay,SuperAnimal,0.01,shuffle1,0.7396630061662904,0.2024891267685472,0.2022439377891384,3.6379000288057104
31,memory-replay,SuperAnimal,0.01,shuffle2,0.7151805848895568,0.2291153542994728,0.21202589416290823,4.008408058771841
32,memory-replay,SuperAnimal,0.01,shuffle3,0.7461485655807352,0.1942445169608434,0.19321056185475016,3.5108888407177132
33,memory-replay,SuperAnimal,0.05,shuffle1,0.8472264653604277,0.13786810062760155,0.1441059447058027,2.3446818306672905
34,memory-replay,SuperAnimal,0.05,shuffle2,0.8451931887221997,0.1376644863975999,0.14241656412750636,2.3320291131050617
35,memory-replay,SuperAnimal,0.05,shuffle3,0.8204262092641462,0.14434323695370888,0.15192886993075236,2.6017631326847974
36,memory-replay,SuperAnimal,0.1,shuffle1,0.8740545352977289,0.13473590651275733,0.1358749231295261,2.115265070054774
37,memory-replay,SuperAnimal,0.1,shuffle2,0.9001129194275271,0.0984015790745407,0.11012395435240463,1.722542735816853
38,memory-replay,SuperAnimal,0.1,shuffle3,0.8871517717227225,0.10827312256677293,0.12483461896192928,1.8694743987991223
39,memory-replay,SuperAnimal,0.5,shuffle1,0.9360600836782351,0.05785266776271511,0.08017306085803814,1.2754031200783695
40,memory-replay,SuperAnimal,0.5,shuffle2,0.9346107813242736,0.06445256754959373,0.08634130246315766,1.4744572472376756
41,memory-replay,SuperAnimal,0.5,shuffle3,0.93596906269443,0.05630612371698311,0.08312328016923506,1.3494287666699392
42,memory-replay,SuperAnimal,1.0,shuffle1,0.9579854294039775,0.038750861899707514,0.0692097474922192,1.1127371106502508
43,memory-replay,SuperAnimal,1.0,shuffle2,0.9501369847823969,0.04002259034392641,0.07279474894370955,1.1290578248924685
44,memory-replay,SuperAnimal,1.0,shuffle3,0.9468299898171867,0.042451821895566226,0.07672923741528513,1.216217095504968
45,transfer-learning,AP10k,0.01,shuffle1,0.00982841219444482,1.6528678811776432,1.6249711273310603,33.39044495012376
46,transfer-learning,AP10k,0.01,shuffle2,0.010285482241924316,1.5518625564000308,1.5016737863435528,30.284489746227827
47,transfer-learning,AP10k,0.01,shuffle3,0.01002547623183371,1.7146710004917822,1.7170391171851258,35.537272937722314
48,transfer-learning,AP10k,0.05,shuffle1,0.7013019941105944,0.340783626239539,0.3175841627170794,4.705047489914891
49,transfer-learning,AP10k,0.05,shuffle2,0.7092049665914143,0.2768981943195099,0.26631630495908565,4.1262634650008785
50,transfer-learning,AP10k,0.05,shuffle3,0.6218215496733155,0.3646725044870246,0.32739575194173615,5.4007663470791885
51,transfer-learning,AP10k,0.1,shuffle1,0.6880734642060345,0.4287462836183464,0.31457036511531494,5.1352916020031945
52,transfer-learning,AP10k,0.1,shuffle2,0.7979881856715135,0.2093668283482645,0.18550127474907782,3.0918812905898596
53,transfer-learning,AP10k,0.1,shuffle3,0.802496173372985,0.18844246022350647,0.2251997935966455,3.2091253674180686
54,transfer-learning,AP10k,0.5,shuffle1,0.9232190691001627,0.05998516813110556,0.09571509370040197,1.425628550787401
55,transfer-learning,AP10k,0.5,shuffle2,0.9098851855705153,0.08971241952455408,0.10980893191546556,1.7987267825866318
56,transfer-learning,AP10k,0.5,shuffle3,0.9001094227462998,0.07026503953107358,0.12828108727050358,1.8537215545232877
57,transfer-learning,AP10k,1.0,shuffle1,0.9559514548880603,0.03486439286721984,0.07574246373684348,1.1804385666240318
58,transfer-learning,AP10k,1.0,shuffle2,0.945691747587852,0.03592287062843883,0.07553754228579539,1.150185322185558
59,transfer-learning,AP10k,1.0,shuffle3,0.9191437669012906,0.037677975211540815,0.1254145743979543,1.7096653859768602
60,transfer-learning,ImageNet,0.01,shuffle1,0.008080548496774094,2.197781153829364,2.212881816251683,43.12102938358239
61,transfer-learning,ImageNet,0.01,shuffle2,0.01002838904992056,2.7669801072518805,2.600828858910495,50.87007993224934
62,transfer-learning,ImageNet,0.01,shuffle3,0.009911081036161168,2.140933542313446,2.265316020385865,44.774611164646814
63,transfer-learning,ImageNet,0.05,shuffle1,0.0979863577909475,1.2559792394991758,1.1845336162782878,21.038870117641537
64,transfer-learning,ImageNet,0.05,shuffle2,0.2509797537491806,0.7094426539112578,0.7035069233166453,11.94228997453238
65,transfer-learning,ImageNet,0.05,shuffle3,0.33292572682771776,0.6190074705745152,0.6538673987822212,11.462782031261849
66,transfer-learning,ImageNet,0.1,shuffle1,0.1546663931480543,1.1451741074219455,1.1310127426108307,20.072713263027044
67,transfer-learning,ImageNet,0.1,shuffle2,0.3117208109716085,0.7164695606052217,0.7568992067227971,14.118242031684412
68,transfer-learning,ImageNet,0.1,shuffle3,0.4979460372375375,0.48712237461922686,0.5710981924288997,9.720998419218772
69,transfer-learning,ImageNet,0.5,shuffle1,0.8257680634915257,0.11563539040646385,0.19841441703332713,2.7526820225663924
70,transfer-learning,ImageNet,0.5,shuffle2,0.664403996021282,0.33345987153166595,0.40224989709141706,8.135493521661177
71,transfer-learning,ImageNet,0.5,shuffle3,0.8024255465209199,0.12167570803767583,0.25289514981451283,3.5791172610632485
72,transfer-learning,ImageNet,1.0,shuffle1,0.9269111726007541,0.034885430848039495,0.11104303812676364,1.5436035969934783
73,transfer-learning,ImageNet,1.0,shuffle2,0.9033500146547598,0.035655110907804946,0.11828205162846644,1.548606440409823
74,transfer-learning,ImageNet,1.0,shuffle3,0.8852056461228227,0.037037483100725535,0.17687280885448795,2.4182840440750146
75,transfer-learning,SuperAnimal,0.01,shuffle1,0.010883057087541196,1.3779780118374043,1.4012391262233619,29.275333081340484
76,transfer-learning,SuperAnimal,0.01,shuffle2,0.010834537475269239,1.6029638381447662,1.5158596021762072,30.69942338616183
77,transfer-learning,SuperAnimal,0.01,shuffle3,0.011373352694180003,1.5822982399033718,1.5843027466533255,33.59641593789662
78,transfer-learning,SuperAnimal,0.05,shuffle1,0.7500168507027442,0.26980422092417816,0.24430403056727176,3.5971563047448094
79,transfer-learning,SuperAnimal,0.05,shuffle2,0.7816284870534052,0.21099609785329076,0.19670628837422605,3.224149332450246
80,transfer-learning,SuperAnimal,0.05,shuffle3,0.7080889474866706,0.24910045746948956,0.2734624214372348,4.260229776828765
81,transfer-learning,SuperAnimal,0.1,shuffle1,0.8174498736394923,0.23164733707253457,0.19161937395149506,2.8282164656728197
82,transfer-learning,SuperAnimal,0.1,shuffle2,0.8798747859559056,0.11001745708310973,0.11728111446907731,1.944003131900579
83,transfer-learning,SuperAnimal,0.1,shuffle3,0.8597134496394664,0.12721039803511763,0.17275523953547198,2.269485512832893
84,transfer-learning,SuperAnimal,0.5,shuffle1,0.9367505994991038,0.055296991789927724,0.08743159923705587,1.304824000244266
85,transfer-learning,SuperAnimal,0.5,shuffle2,0.9338052426911931,0.07338648667243529,0.08819771138299437,1.5397721530899255
86,transfer-learning,SuperAnimal,0.5,shuffle3,0.9226286515005938,0.058804864400768195,0.10172125762546536,1.5128799390831056
87,transfer-learning,SuperAnimal,1.0,shuffle1,0.9587416860506542,0.03491958407164562,0.06989968480171711,1.0944368774629105
88,transfer-learning,SuperAnimal,1.0,shuffle2,0.9534050305787369,0.03575778837669773,0.06954855980398583,1.0653821742897196
89,transfer-learning,SuperAnimal,1.0,shuffle3,0.9329492146783925,0.03866028139095793,0.10514423637164172,1.4940017602742584
90,zeroshot,AP10k,1.0,shuffle1,0.6610393924963343,0.29916065396162905,0.28344997137365147,4.899725727350906
91,zeroshot,AP10k,1.0,shuffle2,0.6589195730889525,0.2992378218549156,0.2850459976970536,4.854310605773099
92,zeroshot,AP10k,1.0,shuffle3,0.6519073280437389,0.29099059665036725,0.2935024250879926,5.031571099857735
93,zeroshot,SuperAnimal,1.0,shuffle1,0.7133120592063836,0.21962331123041956,0.2304740361655757,3.970598698523808
94,zeroshot,SuperAnimal,1.0,shuffle2,0.713966846909972,0.23391615715268185,0.22476164105706095,3.897161952446302
95,zeroshot,SuperAnimal,1.0,shuffle3,0.7088659786671574,0.22829554149838346,0.2287161605948108,4.005525612967623
