,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,finetune,AP10k,0.01,shuffle0,0.4865953334249839,31.037158959215805
1,finetune,AP10k,0.01,shuffle1,0.4042487282923995,39.794366360520264
2,finetune,AP10k,0.01,shuffle2,0.4034827977272199,42.27927839088116
3,finetune,AP10k,0.05,shuffle0,0.5381978120775804,27.50502131956912
4,finetune,AP10k,0.05,shuffle1,0.4699129890701694,34.3237558763177
5,finetune,AP10k,0.05,shuffle2,0.48003158642346416,40.8753213283364
6,finetune,AP10k,0.1,shuffle0,0.5438671581924133,29.01128046388472
7,finetune,AP10k,0.1,shuffle1,0.4847287177229779,36.093815976775964
8,finetune,AP10k,0.1,shuffle2,0.4719708707612564,45.80542356170499
9,finetune,AP10k,0.5,shuffle0,0.6444058227930033,21.387782646466842
10,finetune,AP10k,0.5,shuffle1,0.5438226720379161,32.70016357085093
11,finetune,AP10k,0.5,shuffle2,0.5475165901360353,34.554123300445504
12,finetune,AP10k,1.0,shuffle0,0.6548353348823203,22.001411218831528
13,finetune,AP10k,1.0,shuffle1,0.5804568629362873,29.411005191770595
14,finetune,AP10k,1.0,shuffle2,0.6137469013285907,28.86217809654456
15,finetune,SuperAnimal,0.01,shuffle0,0.6376928362489918,28.08865377065298
16,finetune,SuperAnimal,0.01,shuffle1,0.5403627806615093,34.35484325789377
17,finetune,SuperAnimal,0.01,shuffle2,0.5977701260749272,35.35277931401882
18,finetune,SuperAnimal,0.05,shuffle0,0.6402396344726022,26.076300358127902
19,finetune,SuperAnimal,0.05,shuffle1,0.5523775655661909,34.009815940959754
20,finetune,SuperAnimal,0.05,shuffle2,0.6450359359840069,32.60400761677478
21,finetune,SuperAnimal,0.1,shuffle0,0.6437488928774032,26.67035429671004
22,finetune,SuperAnimal,0.1,shuffle1,0.559247701010561,42.190319210371236
23,finetune,SuperAnimal,0.1,shuffle2,0.6282650053257244,34.92010401811339
24,finetune,SuperAnimal,0.5,shuffle0,0.7237989479641803,23.536174042160447
25,finetune,SuperAnimal,0.5,shuffle1,0.6683037276592672,27.968817075950437
26,finetune,SuperAnimal,0.5,shuffle2,0.7087450507898432,28.79308952063671
27,finetune,SuperAnimal,1.0,shuffle0,0.740291692270926,20.977051069929793
28,finetune,SuperAnimal,1.0,shuffle1,0.6915158416406646,28.51194198690656
29,finetune,SuperAnimal,1.0,shuffle2,0.7356017546028737,25.707453158493934
30,memory-replay,SuperAnimal,0.01,shuffle0,0.6454887501305167,26.628159868395006
31,memory-replay,SuperAnimal,0.01,shuffle1,0.5760830280645618,33.00545388090643
32,memory-replay,SuperAnimal,0.01,shuffle2,0.6040041482477474,35.768151192733306
33,memory-replay,SuperAnimal,0.05,shuffle0,0.6627875505946721,25.19433427759119
34,memory-replay,SuperAnimal,0.05,shuffle1,0.5980418038378874,32.221216654199154
35,memory-replay,SuperAnimal,0.05,shuffle2,0.6374263543580826,31.854775625955607
36,memory-replay,SuperAnimal,0.1,shuffle0,0.65818917111488,24.88740195197028
37,memory-replay,SuperAnimal,0.1,shuffle1,0.6241648067570068,30.357756123709873
38,memory-replay,SuperAnimal,0.1,shuffle2,0.6291136650109069,34.65730709279312
39,memory-replay,SuperAnimal,0.5,shuffle0,0.714111174009034,22.051932494704786
40,memory-replay,SuperAnimal,0.5,shuffle1,0.6760473496378788,28.113455960050103
41,memory-replay,SuperAnimal,0.5,shuffle2,0.687735479845496,28.399016828003724
42,memory-replay,SuperAnimal,1.0,shuffle0,0.7273763984971733,22.834110301249737
43,memory-replay,SuperAnimal,1.0,shuffle1,0.7294570950164331,25.69398014757511
44,memory-replay,SuperAnimal,1.0,shuffle2,0.732303946322642,26.122690178482987
45,transfer-learning,AP10k,0.01,shuffle0,0.15218431289152717,81.54554318479752
46,transfer-learning,AP10k,0.01,shuffle1,0.11107558806243298,96.110385070988
47,transfer-learning,AP10k,0.01,shuffle2,0.12404568912491841,100.29054773788545
48,transfer-learning,AP10k,0.05,shuffle0,0.4168547432349622,41.43854451510224
49,transfer-learning,AP10k,0.05,shuffle1,0.39675985059752616,46.88684495329125
50,transfer-learning,AP10k,0.05,shuffle2,0.36664090250392123,51.76181016468743
