cond;sup_gt;sup;sup;sup;sup;unsup_gt;unsup;unsup;unsup;unsup
experimenter;Sturman;Sturman;sturman_cebra_behavior;zoo;cebra_behavior;Sturman;Sturman;sturman_cebra_behavior;zoo;cebra_behavior
id;;;;;;;;;;
OFT_11;43.666666666666664;47.166666666666664;45.666666666666664;48.666666666666664;46.666666666666664;23.0;18.666666666666668;26.333333333333332;22.0;27.0
OFT_12;45.666666666666664;50.833333333333336;52.0;54.333333333333336;54.333333333333336;52.666666666666664;41.666666666666664;36.0;35.666666666666664;31.333333333333332
OFT_14;55.0;65.5;57.333333333333336;60.666666666666664;60.333333333333336;42.666666666666664;33.0;36.666666666666664;34.0;38.0
OFT_15;49.666666666666664;59.5;51.333333333333336;55.0;53.0;35.0;22.333333333333332;31.0;33.0;40.0
OFT_16;47.333333333333336;48.166666666666664;50.0;50.333333333333336;51.666666666666664;22.666666666666668;29.666666666666668;26.0;23.333333333333332;20.666666666666668
OFT_23;38.333333333333336;51.666666666666664;45.333333333333336;49.333333333333336;49.666666666666664;7.666666666666667;10.0;13.666666666666666;18.333333333333332;13.333333333333334
OFT_24;45.333333333333336;53.166666666666664;52.333333333333336;52.333333333333336;49.666666666666664;67.33333333333333;20.666666666666668;50.333333333333336;56.333333333333336;49.333333333333336
OFT_38;63.333333333333336;63.333333333333336;67.66666666666667;63.333333333333336;67.33333333333333;60.333333333333336;26.0;41.333333333333336;39.0;36.666666666666664
OFT_39;47.666666666666664;51.166666666666664;52.0;63.666666666666664;61.666666666666664;48.333333333333336;40.666666666666664;40.333333333333336;40.666666666666664;40.0
OFT_41;48.333333333333336;50.166666666666664;49.333333333333336;49.666666666666664;48.333333333333336;33.0;18.666666666666668;23.666666666666668;29.0;31.333333333333332
OFT_43;64.0;68.16666666666667;61.0;65.66666666666667;62.333333333333336;11.0;5.0;7.0;25.333333333333332;20.0
OFT_44;47.166666666666664;54.166666666666664;50.333333333333336;51.0;55.0;23.0;14.0;26.0;41.0;31.0
OFT_49;42.333333333333336;49.166666666666664;45.0;47.0;49.333333333333336;23.0;19.0;21.333333333333332;17.666666666666668;19.0
OFT_5;60.666666666666664;66.66666666666667;62.333333333333336;64.33333333333333;63.666666666666664;27.333333333333332;12.666666666666666;19.666666666666668;21.666666666666668;20.333333333333332
OFT_50;34.333333333333336;41.5;36.666666666666664;37.666666666666664;37.666666666666664;23.833333333333332;25.666666666666668;36.0;30.666666666666668;27.0
OFT_51;36.333333333333336;42.5;40.333333333333336;45.666666666666664;46.0;19.666666666666668;18.5;22.0;25.666666666666668;29.333333333333332
OFT_52;59.666666666666664;71.5;57.0;64.0;65.33333333333333;36.666666666666664;25.333333333333332;21.0;25.666666666666668;24.333333333333332
OFT_54;56.333333333333336;56.833333333333336;54.333333333333336;62.0;64.66666666666667;43.0;23.666666666666668;44.0;29.666666666666668;32.0
OFT_58;45.666666666666664;54.166666666666664;46.0;48.333333333333336;46.666666666666664;28.666666666666668;17.0;21.666666666666668;25.333333333333332;21.666666666666668
OFT_6;54.333333333333336;57.333333333333336;53.0;51.666666666666664;52.666666666666664;17.0;14.333333333333334;13.666666666666666;29.0;24.0
