;f1;action;method;video
0;0.08996832101372756;Supported Rears;Sturman + CEBRA;5
1;0.8606346483704973;Supported Rears;Sturman + CEBRA;6
2;0.8561473369835739;Supported Rears;Sturman + CEBRA;11
3;0.8598452278589853;Supported Rears;Sturman + CEBRA;12
4;0.10221205186880244;Supported Rears;Sturman + CEBRA;14
5;0.8541371636657902;Supported Rears;Sturman + CEBRA;15
6;0.870309745656006;Supported Rears;Sturman + CEBRA;16
7;0.8154385964912281;Supported Rears;Sturman + CEBRA;23
8;0.8467532467532467;Supported Rears;Sturman + CEBRA;24
9;0.8544552762100223;Supported Rears;Sturman + CEBRA;38
10;0.8665568369028006;Supported Rears;Sturman + CEBRA;39
11;0.8583787850291517;Supported Rears;Sturman + CEBRA;41
12;0.8652155110278219;Supported Rears;Sturman + CEBRA;43
13;0.8732782369146006;Supported Rears;Sturman + CEBRA;44
14;0.9057377049180328;Supported Rears;Sturman + CEBRA;49
15;0.8732943469785576;Supported Rears;Sturman + CEBRA;50
16;0.8480546792849631;Supported Rears;Sturman + CEBRA;51
17;0.8808882907133245;Supported Rears;Sturman + CEBRA;52
18;0.811415349016583;Supported Rears;Sturman + CEBRA;54
19;0.03354008729611762;Supported Rears;Sturman + CEBRA;58
20;0.8086734693877551;Supported Rears;Sturman + CEBRA;5
21;0.8251165072357126;Supported Rears;Sturman + CEBRA;6
22;0.7743575261225643;Supported Rears;Sturman + CEBRA;11
23;0.8132438866046311;Supported Rears;Sturman + CEBRA;12
24;0.11648129423660263;Supported Rears;Sturman + CEBRA;14
25;0.813302752293578;Supported Rears;Sturman + CEBRA;15
26;0.8385076963214192;Supported Rears;Sturman + CEBRA;16
27;0.8164872669992123;Supported Rears;Sturman + CEBRA;23
28;0.15655017371755567;Supported Rears;Sturman + CEBRA;24
29;0.810464897421419;Supported Rears;Sturman + CEBRA;38
30;0.09596562425399856;Supported Rears;Sturman + CEBRA;39
31;0.05136795086543831;Supported Rears;Sturman + CEBRA;41
32;0.8474687705456936;Supported Rears;Sturman + CEBRA;43
33;0.8371792106965712;Supported Rears;Sturman + CEBRA;44
34;0.037037037037037035;Supported Rears;Sturman + CEBRA;49
35;0.8529503590384014;Supported Rears;Sturman + CEBRA;50
36;0.8439450686641697;Supported Rears;Sturman + CEBRA;51
37;0.8590554109334327;Supported Rears;Sturman + CEBRA;52
38;0.7203707790774663;Supported Rears;Sturman + CEBRA;54
39;0.8942731277533039;Supported Rears;Sturman + CEBRA;58
40;0.8489567113048895;Supported Rears;Sturman + CEBRA;5
41;0.8753734528382415;Supported Rears;Sturman + CEBRA;6
42;0.8743874129481558;Supported Rears;Sturman + CEBRA;11
43;0.8525598769501208;Supported Rears;Sturman + CEBRA;12
44;0.04412665985699693;Supported Rears;Sturman + CEBRA;14
45;0.851543140346925;Supported Rears;Sturman + CEBRA;15
46;0.8741044012282498;Supported Rears;Sturman + CEBRA;16
47;0.8342273307790549;Supported Rears;Sturman + CEBRA;23
48;0.7907503967354342;Supported Rears;Sturman + CEBRA;24
49;0.8723068838675775;Supported Rears;Sturman + CEBRA;38
50;0.8450395083406498;Supported Rears;Sturman + CEBRA;39
51;0.8827415359207268;Supported Rears;Sturman + CEBRA;41
52;0.8526516820919642;Supported Rears;Sturman + CEBRA;43
53;0.8517465475223396;Supported Rears;Sturman + CEBRA;44
54;0.001078167115902965;Supported Rears;Sturman + CEBRA;49
55;0.8711031175059953;Supported Rears;Sturman + CEBRA;50
56;0.8588072122052705;Supported Rears;Sturman + CEBRA;51
57;0.8994983566856944;Supported Rears;Sturman + CEBRA;52
58;0.7799052913320978;Supported Rears;Sturman + CEBRA;54
59;0.8918600078647266;Supported Rears;Sturman + CEBRA;58
60;0.07444466680008004;Unsupported Rears;Sturman + CEBRA;5
61;0.45945945945945943;Unsupported Rears;Sturman + CEBRA;6
62;0.5665188470066519;Unsupported Rears;Sturman + CEBRA;11
63;0.5940014630577909;Unsupported Rears;Sturman + CEBRA;12
64;0.0261139896373057;Unsupported Rears;Sturman + CEBRA;14
65;0.5588740130449708;Unsupported Rears;Sturman + CEBRA;15
66;0.5699848408287014;Unsupported Rears;Sturman + CEBRA;16
67;0.1346153846153846;Unsupported Rears;Sturman + CEBRA;23
68;0.6288056206088993;Unsupported Rears;Sturman + CEBRA;24
